Home Type,Address,City,State,Zip,Listing Price,Baths,Beds,SQFT,Year Built,Airbnb Cash on Cash
Condo/Coop,904 Pomona Drive #0,Champaign,IL,61822,112000,0,3,1088,1983,15.4568
Single Family Residential,1318 Larkspur Lane,Champaign,IL,61821,122000,0,3,2198,1955,15.189
Single Family Residential,617 Doisy Lane,Champaign,IL,61822,185000,0,4,1604,2006,4.49858
Townhouse,801 PRESTWICK,Champaign,IL,61822,164900,0,3,1696,2004,10.6625
Single Family Residential,614 Goldenview Drive,Champaign,IL,61821,109900,0,3,1182,1981,17.1047
Single Family Residential,3106 Sylvan Drive,Champaign,IL,61821,114900,0,3,1112,1968,16.2642
Single Family Residential,3209 Sharon Drive,Champaign,IL,61822,169900,0,3,1736,1993,10.1954
Single Family Residential,1113 Washington Street West,Champaign,IL,61820,118000,0,3,1416,1918,15.7788
Single Family Residential,1118 West Daniel Street,Champaign,IL,61821,229900,0,2,1814,1945,1.43473
Single Family Residential,1212 Gertrude Avenue,Champaign,IL,61821,119999,0,3,2722,1958,15.4792
Single Family Residential,1110 West Healey Street,Champaign,IL,61821,189000,0,4,1945,1947,4.38041
Condo/Coop,107 North Elm Street #210,Champaign,IL,61820,164900,0,2,1215,1976,0.28074
Single Family Residential,2808 Santa Ana Road,Champaign,IL,61821,145000,0,3,1707,1982,12.4292
Single Family Residential,3106 Saratoga Drive,Champaign,IL,61821,99900,0,3,936,,19.0381
Single Family Residential,702 COMPTON Avenue,Champaign,IL,61822,145900,0,3,1436,1985,12.3389
Single Family Residential,2706 Lawndale Drive,Champaign,IL,61821,99900,0,3,1000,,19.0381
Single Family Residential,2310 Belmore Drive,Champaign,IL,61821,192900,0,4,2620,1974,4.24717
Single Family Residential,802 BELLEPARK Drive,Champaign,IL,61821,114000,0,3,1189,1965,16.41
Single Family Residential,502 WILDWOOD Court,Champaign,IL,61821,145900,0,4,1320,1950,6.32727
Single Family Residential,610 Delmar Drive,Champaign,IL,61822,154900,0,3,1458,1988,11.4936
Condo/Coop,2207 Melrose Drive #C,Champaign,IL,61820,79900,0,3,1319,1970,21.5632
Single Family Residential,4816 Chestnut Grove Drive,Champaign,IL,61822,375000,0,3,2206,2007,3.37048
Single Family Residential,1906 Diana Avenue,Champaign,IL,61821,99900,0,3,1073,1967,19.0381
Single Family Residential,1310 West Hill Street,Champaign,IL,61821,132900,0,3,1346,1950,13.762
Single Family Residential,2504 Alton Drive,Champaign,IL,61821,148000,0,4,1931,1961,6.20614
Single Family Residential,608 Fox Sedge Court,Champaign,IL,61822,239900,0,4,1968,2004,2.92376
Single Family Residential,411 West Green Street,Champaign,IL,61820,186900,0,3,1825,1903,9.14731
Single Family Residential,2807 Santa Anna Rd,Champaign,IL,61822,154900,0,3,1685,1980,11.4936
Single Family Residential,3804 Englewood Drive,Champaign,IL,61822,219900,0,4,2164,1998,3.45434
Condo/Coop,2527 Windward Boulevard,Champaign,IL,61821,179000,0,3,1697,2004,9.64855
Single Family Residential,2305 Campbell Drive,Champaign,IL,61822,115000,0,3,1355,1959,16.2481
